"","V1","V2","V3","V4","V5","V6","V7"
"---","2016","2017","2018","2019","2020","2021","Impairment_Pre"
"n","4","21","14","5","2","1","47"
"mean","17.5","16.667","16.429","12","10","0","15.532"
"sd","9.574","14.606","12.157","8.367","0",NA,"12.478"
"median","15","10","10","10","10","0","10"
"range","10 - 30","0 - 50","0 - 40","0 - 20","10 - 10","0 - 0","0 - 50"
"IQR","12.5","20","17.5","10","0","0","15"
"---1","2016","2017","2018","2019","2020","2021","YGTSS_Total_Pre"
"n1","4","22","14","6","4","1","51"
"mean1","40.25","40.136","37.714","28.167","29.5","13","36.706"
"sd1","14.431","22.497","17.644","9.368","7.724",NA,"18.681"
"median1","43","40.5","36.5","28.5","28","13","35"
"range1","21 - 54","5 - 95","17 - 70","14 - 40","22 - 40","13 - 13","5 - 95"
"IQR1","15.75","26.25","27","10.75","7.5","0","23.5"
"---2","2016","2017","2018","2019","2020","2021","PUTS_Pre"
"n2","4","22","14","6","4","1","51"
"mean2","21","23.227","19.357","22.333","23","2","21.451"
"sd2","3.162","5.614","5.017","8.454","3.464",NA,"6.224"
"median2","20.5","24","18.5","22.5","24","2","22"
"range2","18 - 25","14 - 33","9 - 26","14 - 31","18 - 26","2 - 2","2 - 33"
"IQR2","4","8.75","7.25","15.25","2","0","8.5"
"---3","2016","2017","2018","2019","2020","2021","Impairment_Post"
"n3","3","18","13","5","2","0","41"
"mean3","13.333","8.889","8.846","8","10","NaN","9.146"
"sd3","5.774","13.235","12.609","4.472","0",NA,"11.286"
"median3","10","0","5","10","10",NA,"10"
"range3","10 - 20","0 - 40","0 - 40","0 - 10","10 - 10","Inf - -Inf","0 - 40"
"IQR3","5","10","10","0","0",NA,"10"
"---4","2016","2017","2018","2019","2020","2021","YGTSS_Total_Post"
"n4","3","19","13","6","4","0","45"
"mean4","33.667","27.053","25","23.167","40.75","NaN","27.6"
"sd4","6.506","20.716","18.161","7.026","16.78",NA,"17.756"
"median4","34","26","21","24","34.5",NA,"27"
"range4","27 - 40","0 - 73","0 - 64","11 - 31","29 - 65","Inf - -Inf","0 - 73"
"IQR4","6.5","30.5","23","6.25","15.75",NA,"24"
"---5","2016","2017","2018","2019","2020","2021","PUTS_Post"
"n5","3","19","13","6","4","0","45"
"mean5","25.667","23.158","20.538","22.5","22.25","NaN","22.4"
"sd5","2.517","6.825","5.84","7.503","5.058",NA,"6.228"
"median5","26","24","21","24.5","21.5",NA,"23"
"range5","23 - 28","10 - 32","9 - 30","11 - 30","18 - 28","Inf - -Inf","9 - 32"
"IQR5","2.5","11","8","10","7.75",NA,"10"
"---6","2016","2017","2018","2019","2020","2021","Impairment_6_mth"
"n6","3","13","3","0","0","0","19"
"mean6","13.333","6.538","5","NaN","NaN","NaN","7.368"
"sd6","5.774","9.439","8.66",NA,NA,NA,"8.877"
"median6","10","0","0",NA,NA,NA,"5"
"range6","10 - 20","0 - 30","0 - 15","Inf - -Inf","Inf - -Inf","Inf - -Inf","0 - 30"
"IQR6","5","10","7.5",NA,NA,NA,"10"
"---7","2016","2017","2018","2019","2020","2021","YGTSS_Total_6_mth"
"n7","3","13","3","0","0","0","19"
"mean7","27","20.769","17.667","NaN","NaN","NaN","21.263"
"sd7","5.292","15.525","13.796",NA,NA,NA,"13.884"
"median7","25","22","23",NA,NA,NA,"23"
"range7","23 - 33","1 - 56","2 - 28","Inf - -Inf","Inf - -Inf","Inf - -Inf","1 - 56"
"IQR7","5","19","13",NA,NA,NA,"17.5"
"---8","2016","2017","2018","2019","2020","2021","PUTS_6_mth"
"n8","3","13","3","0","0","0","19"
"mean8","23.667","20.462","20.667","NaN","NaN","NaN","21"
"sd8","4.163","9.198","4.163",NA,NA,NA,"7.853"
"median8","25","19","22",NA,NA,NA,"22"
"range8","19 - 27","0 - 37","16 - 24","Inf - -Inf","Inf - -Inf","Inf - -Inf","0 - 37"
"IQR8","4","7","4",NA,NA,NA,"7"
"---9","2016","2017","2018","2019","2020","2021","Impairment_12_mth"
"n9","2","7","2","1","0","0","12"
"mean9","15","10","10","0","NaN","NaN","10"
"sd9","7.071","11.547","0",NA,NA,NA,"9.535"
"median9","15","10","10","0",NA,NA,"10"
"range9","10 - 20","0 - 30","10 - 10","0 - 0","Inf - -Inf","Inf - -Inf","0 - 30"
"IQR9","5","15","0","0",NA,NA,"12.5"
"---10","2016","2017","2018","2019","2020","2021","YGTSS_Total_12_mth"
"n10","2","7","2","1","0","0","12"
"mean10","30.5","28.429","24.75","8","NaN","NaN","26.458"
"sd10","12.021","17.869","0.354",NA,NA,NA,"14.975"
"median10","30.5","22","24.75","8",NA,NA,"22"
"range10","22 - 39","14 - 65","24.5 - 25","8 - 8","Inf - -Inf","Inf - -Inf","8 - 65"
"IQR10","8.5","11","0.25","0",NA,NA,"7.75"
"---11","2016","2017","2018","2019","2020","2021","PUTS_12_mth"
"n11","2","7","1","0","0","0","10"
"mean11","20.5","20.857","19","NaN","NaN","NaN","20.6"
"sd11","2.121","4.413",NA,NA,NA,NA,"3.718"
"median11","20.5","20","19",NA,NA,NA,"19.5"
"range11","19 - 22","16 - 27","19 - 19","Inf - -Inf","Inf - -Inf","Inf - -Inf","16 - 27"
"IQR11","1.5","6.5","0",NA,NA,NA,"3"
