"","V1","V2","V3","V4","V5","V6","V7"
"---","2016","2017","2018","2019","2020","2021","First_motor_tics_Age"
"n","1","6","1","8","10","2","28"
"mean","6","6.167","7","7.625","6.9","6.5","6.893"
"sd",NA,"1.722",NA,"1.408","2.514","2.121","1.912"
"median","6","6","7","7.5","7","6.5","7"
"range","(6-6)","(4-9)","(7-7)","(6-10)","(4-12)","(5-8)","(4-12)"
"IQR","0","1.5","0","1.5","3","1.5","2.25"
"---1","2016","2017","2018","2019","2020","2021","Worse_motor_tics_Age"
"n1","1","6","1","8","10","2","28"
"mean1","8","7.5","7","10.125","9.4","6.5","8.857"
"sd1",NA,"1.517",NA,"3.091","3.921","2.121","3.124"
"median1","8","7.5","7","10","8","6.5","8"
"range1","(8-8)","(5-9)","(7-7)","(6-15)","(7-20)","(5-8)","(5-20)"
"IQR1","0","1.75","0","4.5","1.75","1.5","2.25"
"---2","2016","2017","2018","2019","2020","2021","Motor_1_Pre"
"n2","2","19","14","5","2","1","43"
"mean2","1.5","2.368","2.214","1.4","3","2","2.186"
"sd2","0.707","1.116","0.802","0.894","0",NA,"0.982"
"median2","1.5","2","2","2","3","2","2"
"range2","(1-2)","(1-5)","(1-4)","(0-2)","(3-3)","(2-2)","(0-5)"
"IQR2","0.5","0","0.75","1","0","0","0"
"---3","2016","2017","2018","2019","2020","2021","Motor_2_Pre"
"n3","2","19","14","5","2","1","43"
"mean3","3.5","3.789","3.857","3.6","3.5","2","3.721"
"sd3","2.121","1.357","1.027","1.673","0.707",NA,"1.26"
"median3","3.5","4","4","4","3.5","2","4"
"range3","(2-5)","(1-5)","(2-5)","(1-5)","(3-4)","(2-2)","(1-5)"
"IQR3","1.5","2.5","1.5","2","0.5","0","2"
"---4","2016","2017","2018","2019","2020","2021","Motor_3_Pre"
"n4","2","19","14","5","2","1","43"
"mean4","1","3.105","2.429","2.8","2.5","1","2.674"
"sd4","0","1.37","1.158","1.643","0.707",NA,"1.34"
"median4","1","3","2","2","2.5","1","2"
"range4","(1-1)","(1-5)","(1-5)","(1-5)","(2-3)","(1-1)","(1-5)"
"IQR4","0","2","0.75","2","0.5","0","2"
"---5","2016","2017","2018","2019","2020","2021","Motor_4_Pre"
"n5","2","19","14","5","2","1","43"
"mean5","1.5","2.579","2.571","1.8","2.5","1","2.395"
"sd5","0.707","1.216","0.852","0.447","0.707",NA,"1.027"
"median5","1.5","3","2","2","2.5","1","2"
"range5","(1-2)","(0-5)","(2-5)","(1-2)","(2-3)","(1-1)","(0-5)"
"IQR5","0.5","1","1","0","0.5","0","1"
"---6","2016","2017","2018","2019","2020","2021","Motor_5_Pre"
"n6","2","19","14","5","2","1","43"
"mean6","2","1.789","2.071","2","1.5","2","1.907"
"sd6","1.414","1.619","1.141","1.225","0.707",NA,"1.324"
"median6","2","1","2","2","1.5","2","2"
"range6","(1-3)","(0-5)","(0-4)","(1-4)","(1-2)","(2-2)","(0-5)"
"IQR6","1","1","1.5","1","0.5","0","1"
"---7","2016","2017","2018","2019","2020","2021","Motor_Total_Pre"
"n7","2","19","14","5","2","1","43"
"mean7","9.5","13.632","13.143","11.6","13","8","12.884"
"sd7","4.95","5.09","3.527","3.209","2.828",NA,"4.277"
"median7","9.5","14","12.5","12","13","8","13"
"range7","(6-13)","(5-23)","(8-20)","(7-15)","(11-15)","(8-8)","(5-23)"
"IQR7","3.5","7.5","3.75","4","2","0","5"
"---8","2016","2017","2018","2019","2020","2021","Motor_1_Post"
"n8","1","16","13","5","2","0","37"
"mean8","2","1.938","2.231","1.8","2","NaN","2.027"
"sd8",NA,"1.289","0.927","0.447","0",NA,"1.013"
"median8","2","2","2","2","2",NA,"2"
"range8","(2-2)","(0-5)","(0-4)","(1-2)","(2-2)","(Inf--Inf)","(0-5)"
"IQR8","0","1","1","0","0",NA,"0"
"---9","2016","2017","2018","2019","2020","2021","Motor_2_Post"
"n9","1","16","13","5","2","0","37"
"mean9","4","3.25","3.538","3.7","3.5","NaN","3.446"
"sd9",NA,"1.88","1.45","1.095","0.707",NA,"1.536"
"median9","4","4","4","4","3.5",NA,"4"
"range9","(4-4)","(0-5)","(0-5)","(2-5)","(3-4)","(Inf--Inf)","(0-5)"
"IQR9","0","3.25","2","0.5","0.5",NA,"2"
"---10","2016","2017","2018","2019","2020","2021","Motor_3_Post"
"n10","1","16","13","5","2","0","37"
"mean10","1","2.188","2","1.4","3.5","NaN","2.054"
"sd10",NA,"1.223","1.225","0.894","0.707",NA,"1.201"
"median10","1","2","2","2","3.5",NA,"2"
"range10","(1-1)","(0-4)","(0-4)","(0-2)","(3-4)","(Inf--Inf)","(0-4)"
"IQR10","0","2","2","1","0.5",NA,"2"
"---11","2016","2017","2018","2019","2020","2021","Motor_4_Post"
"n11","1","16","13","5","2","0","37"
"mean11","2","2","2","2.5","3.5","NaN","2.149"
"sd11",NA,"1.317","1.225","1","0.707",NA,"1.218"
"median11","2","2","2","2","3.5",NA,"2"
"range11","(2-2)","(0-5)","(0-4)","(1.5-4)","(3-4)","(Inf--Inf)","(0-5)"
"IQR11","0","1.25","2","1","0.5",NA,"1.5"
"---12","2016","2017","2018","2019","2020","2021","Motor_5_Post"
"n12","1","16","13","5","2","0","37"
"mean12","3","1.562","1.385","0.7","2","NaN","1.446"
"sd12",NA,"1.209","1.387","0.447","0",NA,"1.201"
"median12","3","1.5","1","1","2",NA,"1"
"range12","(3-3)","(0-4)","(0-4)","(0-1)","(2-2)","(Inf--Inf)","(0-4)"
"IQR12","0","1","2","0.5","0",NA,"1"
