"","V1","V2","V3","V4","V5","V6","V7"
"---","2016","2017","2018","2019","2020","2021","First_motor_tics_Age"
"n","1","5","1","7","10","2","26"
"mean","6","5.6","7","7.571","6.9","6.5","6.769"
"sd",NA,"1.14",NA,"1.512","2.514","2.121","1.925"
"median","6","6","7","7","7","6.5","7"
"range","6 - 6","4 - 7","7 - 7","6 - 10","4 - 12","5 - 8","4 - 12"
"IQR","0","1","0","2","3","1.5","2.75"
"---1","2016","2017","2018","2019","2020","2021","Worse_motor_tics_Age"
"n1","1","5","1","7","10","2","26"
"mean1","8","7.2","7","10.143","9.4","6.5","8.808"
"sd1",NA,"1.483",NA,"3.338","3.921","2.121","3.238"
"median1","8","7","7","10","8","6.5","8"
"range1","8 - 8","5 - 9","7 - 7","6 - 15","7 - 20","5 - 8","5 - 20"
"IQR1","0","1","0","5","1.75","1.5","2"
"---2","2016","2017","2018","2019","2020","2021","Motor_1_Pre"
"n2","2","14","10","3","2","1","32"
"mean2","1.5","2.357","2.3","1.333","3","2","2.219"
"sd2","0.707","1.008","0.823","1.155","0",NA,"0.941"
"median2","1.5","2","2","2","3","2","2"
"range2","1 - 2","1 - 5","1 - 4","0 - 2","3 - 3","2 - 2","0 - 5"
"IQR2","0.5","0","0.75","1","0","0","0.25"
"---3","2016","2017","2018","2019","2020","2021","Motor_2_Pre"
"n3","2","14","10","3","2","1","32"
"mean3","3.5","3.786","4.1","2.667","3.5","2","3.688"
"sd3","2.121","1.251","0.738","1.528","0.707",NA,"1.176"
"median3","3.5","4","4","3","3.5","2","4"
"range3","2 - 5","2 - 5","3 - 5","1 - 4","3 - 4","2 - 2","1 - 5"
"IQR3","1.5","2.5","0.75","1.5","0.5","0","2"
"---4","2016","2017","2018","2019","2020","2021","Motor_3_Pre"
"n4","2","14","10","3","2","1","32"
"mean4","1","3.143","2.3","1.667","2.5","1","2.5"
"sd4","0","1.46","0.949","0.577","0.707",NA,"1.295"
"median4","1","3","2","2","2.5","1","2"
