"","V1","V2","V3","V4","V5","V6","V7"
"---","2016","2017","2018","2019","2020","2021","First_vocal_tics_Age"
"n","1","3","1","3","6","2","16"
"mean","7","7.667","7","7.333","7.667","6.5","7.375"
"sd",NA,"2.887",NA,"1.528","3.204","2.121","2.306"
"median","7","6","7","7","7.5","6.5","7"
"range","(7-7)","(6-11)","(7-7)","(6-9)","(4-13)","(5-8)","(4-13)"
"IQR","0","2.5","0","1.5","3.25","1.5","2.25"
"---1","2016","2017","2018","2019","2020","2021","Worse_vocal_tics_Age"
"n1","1","3","1","3","6","2","16"
"mean1","8","9","9","10","10.333","6.5","9.312"
"sd1",NA,"2",NA,"2","4.967","2.121","3.361"
"median1","8","9","9","10","8.5","6.5","8.5"
"range1","(8-8)","(7-11)","(9-9)","(8-12)","(7-20)","(5-8)","(5-20)"
"IQR1","0","2","0","2","3.25","1.5","2.5"
"---2","2016","2017","2018","2019","2020","2021","Vocal_Pre"
"n2","2","14","10","3","2","1","32"
"mean2","10","12","11.4","9.333","5","5","10.781"
"sd2","7.071","7.222","4.789","4.041","0",NA,"5.955"
"median2","10","10","10","10","5","5","10"
"range2","(5-15)","(5-25)","(5-20)","(5-13)","(5-5)","(5-5)","(5-25)"
"IQR2","5","10","5.75","4","0","0","10"
"---3","2016","2017","2018","2019","2020","2021","Vocal_Post"
"n3","1","13","10","3","2","0","29"
"mean3","5","7","6.5","5.833","5","NaN","6.5"
"sd3",NA,"5.583","6.258","3.819","0",NA,"5.234"
"median3","5","5","5","5","5",NA,"5"
"range3","(5-5)","(0-15)","(0-15)","(2.5-10)","(5-5)","(Inf--Inf)","(0-15)"
"IQR3","0","5","11.25","3.75","0",NA,"5"
"---4","2016","2017","2018","2019","2020","2021","Vocal_6_mth"
"n4","3","10","3","0","0","0","16"
"mean4","3.333","5.4","3.333","NaN","NaN","NaN","4.625"
"sd4","2.887","6.703","5.774",NA,NA,NA,"5.795"
"median4","5","2.5","0",NA,NA,NA,"2.5"
"range4","(0-5)","(0-15)","(0-10)","(Inf--Inf)","(Inf--Inf)","(Inf--Inf)","(0-15)"
"IQR4","2.5","11.75","5",NA,NA,NA,"6.25"
"---5","2016","2017","2018","2019","2020","2021","Vocal_12_mth"
"n5","2","5","2","1","0","0","10"
"mean5","2.5","8.4","2.5","0","NaN","NaN","5.2"
"sd5","3.536","4.775","3.536",NA,NA,NA,"4.984"
"median5","2.5","5","2.5","0",NA,NA,"5"
"range5","(0-5)","(5-15)","(0-5)","(0-0)","(Inf--Inf)","(Inf--Inf)","(0-15)"
"IQR5","2.5","7","2.5","0",NA,NA,"3.75"
